序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
37301,9/22/2023 15:40,17 km/h,2161.2 km, ,在线 / 行驶,"福建省厦门市湖里区;华泰路81号;厦门盛元汽车有限公司,联泰大厦,兴湖商务大厦",闽D0TL89,偏北(5),"118.100689,24.515152",69,湖里区湖里街道和悦里46号
37349,9/22/2023 15:45,37 km/h,2162.26 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;长岸路;象屿保税区海关,厦门象屿保税区东门,国际名庄酒交易中心",闽D0TL89,偏西(279),"118.094739,24.516908",2541174,中国（福建）自由贸易试验区厦门片区屿南四路7-7号
37679,9/22/2023 17:06,35 km/h,2168.38 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;南山路127号;厦门市仙岳医院(北区),南山公寓小区,特房南泰苑",闽D0TL89,偏西(254),"118.101544,24.504617",198,海天路105号之一
37680,9/22/2023 17:06,34 km/h,2168.41 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;南山路127号;厦门市仙岳医院(北区),南山公寓小区,特房南泰苑",闽D0TL89,偏西(265),"118.101256,24.504569",19236,厦门市湖里区海天路102-4号
37681,9/22/2023 17:06,36 km/h,2168.45 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;南山路127号;厦门市仙岳医院(北区),南山公寓小区,特房南泰苑",闽D0TL89,偏西(276),"118.100872,24.504569",1449120,厦门市湖里区海天路94号之二3号
37682,9/22/2023 17:06,36 km/h,2168.48 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;南山路109号;南山公寓小区,特房南泰苑,厦门市仙岳医院(北区)",闽D0TL89,偏西(277),"118.100576,24.504604",2242442,湖里区湖里街道海天路65号B1之一及B2商场
37865,9/22/2023 17:39,19 km/h,2173.9 km, ,在线 / 行驶,"福建省厦门市湖里区湖里街道;悦华路;悦华公寓,客家餐厅,车一族",闽D0TL89,西北(332),"118.107537,24.514144",2238264,厦门市湖里区悦华路123号301单元
37916,9/22/2023 17:46,7 km/h,2176.48 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;长浩东路15号;编织袋批发,铭车坊汽车服务中心,鑫军驾校",闽D0TL89,西北(311),"118.105218,24.526518",292769,厦门市湖里区长虹路389号之一
37917,9/22/2023 17:46,0 km/h,2176.49 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市湖里区殿前街道;长浩东路15号;编织袋批发,铭车坊汽车服务中心,鑫军驾校",闽D0TL89,正北(0),"118.105134,24.526587",292769,厦门市湖里区长虹路389号之一
38028,9/22/2023 18:05,13 km/h,2181.78 km, ,在线 / 行驶,"福建省厦门市湖里区禾山街道;枋钟路;太古生活区A5,空港云立方,太古接待楼",闽D0TL89,东北(36),"118.127556,24.530806",568,湖里区殿前街道翔云一路100号
38029,9/22/2023 18:05,26 km/h,2181.8 km, ,在线 / 行驶,"福建省厦门市湖里区禾山街道;枋钟路;太古生活区A5,空港云立方,太古接待楼",闽D0TL89,东北(49),"118.127714,24.530955",568,湖里区殿前街道翔云一路100号
38892,9/23/2023 9:50,4 km/h,2233.91 km, ,在线 / 行驶,"福建省厦门市思明区开元街道;湖滨中路37号;金悦酒店,快乐家园,古龙综合楼",闽D0TL89,东南(133),"118.097639,24.471769",3470,"福建厦门湖滨南里中山医院急救中心12楼
"
38893,9/23/2023 9:50,0 km/h,2233.91 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区开元街道;湖滨中路37号;金悦酒店,快乐家园,古龙综合楼",闽D0TL89,正北(0),"118.097645,24.471765",3470,"福建厦门湖滨南里中山医院急救中心12楼
"
38894,9/23/2023 9:51,0 km/h,2233.91 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区开元街道;湖滨中路37号;金悦酒店,快乐家园,古龙综合楼",闽D0TL89,正北(0),"118.097645,24.471765",3470,"福建厦门湖滨南里中山医院急救中心12楼
"
38895,9/23/2023 9:51,32 km/h,2233.96 km, ,在线 / 行驶,"福建省厦门市思明区开元街道;禾祥西路580号;金悦酒店,交通银行大厦,开元街道湖滨社区",闽D0TL89,东南(141),"118.097956,24.471396",34231,思明区湖滨南路201号（中山医院内）
38903,9/23/2023 9:53,19 km/h,2234.28 km, ,在线 / 行驶,"福建省厦门市思明区开元街道;后滨东三路;yan-makeup彩妆造型工作室,文灶口小吃,koithe(厦门国贸广场店)",闽D0TL89,偏南(170),"118.099003,24.468764",292806,厦门市思明区禾祥西路777号A室一层之二，二层之二
38909,9/23/2023 9:54,32 km/h,2234.84 km, ,在线 / 行驶,"福建省厦门市思明区开元街道;文园路60号;合佳园地,文园路民房,合佳酒店(文园店)",闽D0TL89,西南(226),"118.096443,24.464543",51454,厦门市思明区厦禾路799号之8
38997,9/23/2023 10:14,4 km/h,2236.98 km, ,在线 / 行驶,"福建省厦门市思明区;禾祥西路370号;沃尔玛(聚祥店),五州大厦,凤梨通讯",闽D0TL89,偏北(357),"118.093028,24.470825",2226347,厦门市思明区白鹭洲197-199号25H室
38998,9/23/2023 10:14,9 km/h,2236.99 km, ,在线 / 行驶,"福建省厦门市思明区;禾祥西路645号;沃尔玛(聚祥店),凤梨通讯,五州大厦",闽D0TL89,西北(335),"118.09302,24.470906",2226347,厦门市思明区白鹭洲197-199号25H室
39033,9/23/2023 10:19,13 km/h,2237.19 km, ,在线 / 行驶,福建省厦门市思明区;禾祥西路;1/2,闽D0TL89,偏西(263),"118.092844,24.470943",2226347,厦门市思明区白鹭洲197-199号25H室
39104,9/23/2023 10:30,6 km/h,2238.39 km, ,在线 / 行驶,"福建省厦门市思明区鹭江街道;斗西路;厦门市市场监督管理局,禾祥西路138号,马扎罗西餐厅",闽D0TL89,偏西(262),"118.084954,24.468427",1403253,厦门市思明区湖滨南路43号
39105,9/23/2023 10:30,6 km/h,2238.39 km, ,在线 / 行驶,"福建省厦门市思明区鹭江街道;斗西路;厦门市市场监督管理局,禾祥西路138号,马扎罗西餐厅",闽D0TL89,偏西(262),"118.084954,24.468427",1403253,厦门市思明区湖滨南路43号
39106,9/23/2023 10:30,9 km/h,2238.4 km, ,在线 / 行驶,"福建省厦门市思明区鹭江街道;斗西路;厦门市市场监督管理局,禾祥西路138号,马扎罗西餐厅",闽D0TL89,西南(246),"118.084869,24.468414",1403253,厦门市思明区湖滨南路43号
39223,9/23/2023 10:48,22 km/h,2240.75 km, ,在线 / 行驶,"福建省厦门市思明区鹭江街道禾祥西路2-107号;禾祥西路,禾祥西二路-湖滨西路交叉路口;茶百道(思北店),中国农业银行(厦门联邦支行),禾祥首府",闽D0TL89,西南(247),"118.07428,24.465842",2246653,福建省厦门思明鹭江道99号
39393,9/23/2023 11:33,14 km/h,2264.22 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1473号;安仁大道辅路,安仁大道辅路-三社路交叉路口;厦门风味小吃(安仁里小区店),双艺美术书法教育(安仁里精品校区),画咖工场美术馆",闽D0TL89,西北(325),"117.998843,24.603961",1081,集美灌口
39635,9/23/2023 14:34,62 km/h,2287.45 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路42号;车管家汽车服务(龙山北路店),龙翔花园,盛达社区",闽D0TL89,偏南(194),"118.131844,24.49264",1367257,厦门市湖里区吕岭路55号之5
39636,9/23/2023 14:34,57 km/h,2287.61 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(206),"118.131309,24.491291",1661,厦门思明区吕岭路86号、88号(一层及夹层）
39638,9/23/2023 14:35,47 km/h,2287.89 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;谊爱路9-4号;和光里-36号,亨龙置业,莲花天伦花园",闽D0TL89,西南(225),"118.129666,24.489302",12896,思明区吕岭路4号之六、之七
39751,9/23/2023 14:58,32 km/h,2292.99 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪莲路17-121号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店),兄妹连潮汕鲜牛肉火锅(联丰店)",闽D0TL89,偏南(192),"118.155501,24.480134",2243658,厦门市思明区洪莲中路42号店面
39823,9/23/2023 15:08,25 km/h,2294.64 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路204号;洪文六路,前埔西路-洪文六路交叉路口;油泼面(瑞景店),ZOY艺术中心,莲翔社区",闽D0TL89,偏东(109),"118.159441,24.476306",1231638,厦门市思明区莲前东路166号一层及夹层、168号、113#-3
39859,9/23/2023 15:15,4 km/h,2295.96 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔东路;新华都购物广场(前埔店),天天隆超市(前埔东路店),兴业银行厦门东区支行",闽D0TL89,偏北(16),"118.168279,24.473005",721,厦门市思明区莲前东路874号
39860,9/23/2023 15:15,4 km/h,2295.96 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔东路;新华都购物广场(前埔店),天天隆超市(前埔东路店),兴业银行厦门东区支行",闽D0TL89,偏北(349),"118.168286,24.473038",721,厦门市思明区莲前东路874号
39861,9/23/2023 15:15,5 km/h,2295.96 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔东路;新华都购物广场(前埔店),天天隆超市(前埔东路店),兴业银行厦门东区支行",闽D0TL89,西北(311),"118.168278,24.473049",721,厦门市思明区莲前东路874号
39862,9/23/2023 15:15,7 km/h,2295.96 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路275号;前埔东路,前埔东路-莲前东路交叉路口;绝味鸭脖(厦门前埔南区店),全家福中式餐饮连锁(前埔店),沪上阿姨鲜果茶(前埔店)",闽D0TL89,偏西(277),"118.168245,24.473058",721,厦门市思明区莲前东路874号
39863,9/23/2023 15:15,4 km/h,2295.96 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路275号;前埔东路,前埔东路-莲前东路交叉路口;绝味鸭脖(厦门前埔南区店),全家福中式餐饮连锁(前埔店),沪上阿姨鲜果茶(前埔店)",闽D0TL89,偏西(254),"118.168229,24.473058",721,厦门市思明区莲前东路874号
39864,9/23/2023 15:15,4 km/h,2295.97 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路275号;前埔东路,前埔东路-莲前东路交叉路口;绝味鸭脖(厦门前埔南区店),全家福中式餐饮连锁(前埔店),沪上阿姨鲜果茶(前埔店)",闽D0TL89,偏南(186),"118.168174,24.473005",721,厦门市思明区莲前东路874号
39865,9/23/2023 15:15,0 km/h,2295.97 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道莲前东路275号;前埔东路,前埔东路-莲前东路交叉路口;绝味鸭脖(厦门前埔南区店),全家福中式餐饮连锁(前埔店),沪上阿姨鲜果茶(前埔店)",闽D0TL89,正北(0),"118.168178,24.472979",721,厦门市思明区莲前东路874号
39884,9/23/2023 15:19,10 km/h,2296.27 km, ,在线 / 行驶,"福建省厦门市思明区;前埔东路;天天隆超市(前埔东路店),新华都购物广场(前埔店),文兴东三里",闽D0TL89,东北(24),"118.168196,24.472827",721,厦门市思明区莲前东路874号
39900,9/23/2023 15:21,11 km/h,2296.9 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路1728号;华林前景城,大千便利店,前埔清洁楼",闽D0TL89,偏东(110),"118.173593,24.471867",2208754,厦门市思明区前埔东路15号（一层及夹层）
39901,9/23/2023 15:21,7 km/h,2296.91 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路1728号;华林前景城,大千便利店,前埔清洁楼",闽D0TL89,偏北(357),"118.173674,24.471918",2208754,厦门市思明区前埔东路15号（一层及夹层）
39902,9/23/2023 15:21,10 km/h,2296.91 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路1728号;华林前景城,大千便利店,前埔清洁楼",闽D0TL89,偏北(346),"118.173671,24.47194",2208754,厦门市思明区前埔东路15号（一层及夹层）
39903,9/23/2023 15:21,12 km/h,2296.92 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路1728号;润如庭宾馆,澜如庭宾馆,鸿源鑫五金百货",闽D0TL89,西北(325),"118.173652,24.471995",2208754,厦门市思明区前埔东路15号（一层及夹层）
39904,9/23/2023 15:21,15 km/h,2296.92 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路1728号;润如庭宾馆,澜如庭宾馆,鸿源鑫五金百货",闽D0TL89,西北(311),"118.173628,24.472019",2208754,厦门市思明区前埔东路15号（一层及夹层）
40028,9/23/2023 15:42,20 km/h,2299.82 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道会展路40号;观日路,望海路-观日路交叉路口;厦门市软件园2期(东2门),小精英夏令营,厦门市软件园观日路56号楼",闽D0TL89,偏南(168),"118.182503,24.485373",2242318,厦门市软件园二期观日路30号302单元
40029,9/23/2023 15:42,23 km/h,2299.82 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道会展路40号;观日路,望海路-观日路交叉路口;厦门市软件园2期(东2门),小精英夏令营,厦门市软件园观日路56号楼",闽D0TL89,偏南(187),"118.182503,24.485316",2242318,厦门市软件园二期观日路30号302单元
40030,9/23/2023 15:43,30 km/h,2299.86 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;会展路304号;厦门陆岛酒店(会展店),锦江之星(厦门会展中心店),雅迅大厦",闽D0TL89,偏南(201),"118.182424,24.48505",2242318,厦门市软件园二期观日路30号302单元
40103,9/23/2023 15:56,23 km/h,2303.83 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道高林中路495号;绥德路,绥德路-高林中路交叉路口;中国银行(厦门两岸金融中心支行),仟贵(天地金融港写字楼店),吃咪哺唔南昌拌粉(天地金融港写字楼店)",闽D0TL89,偏北(353),"118.178858,24.51039",1023,高林社468号
40104,9/23/2023 15:56,28 km/h,2303.84 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道高林中路495号;高林中路,绥德路-高林中路交叉路口;中国银行(厦门两岸金融中心支行),仟贵(天地金融港写字楼店),吃咪哺唔南昌拌粉(天地金融港写字楼店)",闽D0TL89,偏北(19),"118.178868,24.510453",1023,高林社468号
40105,9/23/2023 15:56,28 km/h,2303.85 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道高林中路497号;高林中路,绥德路-高林中路交叉路口;中国银行(厦门两岸金融中心支行),仟贵(天地金融港写字楼店),吃咪哺唔南昌拌粉(天地金融港写字楼店)",闽D0TL89,东北(52),"118.178956,24.510559",1023,高林社468号
40123,9/23/2023 15:59,20 km/h,2304.13 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道高林中路517号;田头西一路,昭塘路-田头西二路交叉路口;麦当劳(厦门高林路万科金融中心餐厅),群贤书画院,艺术馆",闽D0TL89,东南(138),"118.181024,24.510504",56820,厦门市湖里区高林村黄厝社85号
40180,9/23/2023 16:08,18 km/h,2305.39 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道金钟路1号118-119;金钟路,金钟路-金山路交叉路口;11th智能产后恢复(万达店),阿里巴巴烧烤(万达店),上著闽海私厨(万达广场C区店)",闽D0TL89,偏西(272),"118.173594,24.504291",2244270,厦门市湖里区金益五里3-107号
40181,9/23/2023 16:08,6 km/h,2305.43 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;高林中路3-103号;厦门湖里万达广场写字楼C区,万达广场写字楼C区-南门,厦门赵杰kk公寓",闽D0TL89,偏西(274),"118.173187,24.504308",2244270,厦门市湖里区金益五里3-107号
40182,9/23/2023 16:09,0 km/h,2305.43 km,0秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区金山街道;高林中路3-103号;厦门湖里万达广场写字楼C区,万达广场写字楼C区-南门,厦门赵杰kk公寓",闽D0TL89,正北(0),"118.17316,24.504318",2244270,厦门市湖里区金益五里3-107号
40183,9/23/2023 16:09,0 km/h,2305.43 km,30秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区金山街道;高林中路3-103号;厦门湖里万达广场写字楼C区,万达广场写字楼C区-南门,厦门赵杰kk公寓",闽D0TL89,正北(0),"118.17316,24.504318",2244270,厦门市湖里区金益五里3-107号
40184,9/23/2023 16:10,0 km/h,2305.43 km,1分 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区金山街道;高林中路3-103号;厦门湖里万达广场写字楼C区,万达广场写字楼C区-南门,厦门赵杰kk公寓",闽D0TL89,正北(0),"118.17316,24.504318",2244270,厦门市湖里区金益五里3-107号
40185,9/23/2023 16:10,0 km/h,2305.43 km,1分30秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市湖里区金山街道;高林中路3-103号;厦门湖里万达广场写字楼C区,万达广场写字楼C区-南门,厦门赵杰kk公寓",闽D0TL89,正北(0),"118.17316,24.504318",2244270,厦门市湖里区金益五里3-107号
40344,9/23/2023 16:36,45 km/h,2311.49 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道穆厝南路55号;五缘湾道,五缘湾道-C1路交叉路口;淮阳江氏宗祠,复旦大学附属中山医院(厦门)国家区域医疗中心,田里",闽D0TL89,西北(294),"118.161013,24.512093",386873,湖里区禾山街道钟宅西三路22号
