origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r,distance_ratio,duration_ratio
1340585,58391,"118.099442,24.467097","118.103488,24.467616",676,234,590,330,0.8727810650887574,1.4102564102564104
58391,51383,"118.103488,24.467616","118.075524,24.452385",4087,901,26080,2280,6.381208710545632,2.530521642619312
51383,31592,"118.075524,24.452385","118.088992,24.460932",2695,550,560,150,0.2077922077922078,0.2727272727272727
53159,3709,"118.113313,24.515749","118.101804,24.504688",2471,541,2370,869,0.9591258599757183,1.6062846580406653
3709,12833,"118.101804,24.504688","118.101986,24.523736",3716,708,8230,780,2.2147470398277718,1.1016949152542372
2237302,1400,"118.247224,24.617976","118.111153,24.516533",20991,1526,18950,1800,0.9027678528893335,1.1795543905635648
1400,1978,"118.111153,24.516533","118.098531,24.504816",2811,597,1620,180,0.576307363927428,0.3015075376884422
1978,11937,"118.098531,24.504816","118.086505,24.46895",7468,891,1130,420,0.15131226566684522,0.4713804713804714
11937,23990,"118.086505,24.46895","118.091367,24.466895",1190,380,950,150,0.7983193277310925,0.39473684210526316
23990,1316432,"118.091367,24.466895","118.090896,24.466662",76,46,40,30,0.5263157894736842,0.6521739130434783
1316432,12898,"118.090896,24.466662","118.088813,24.466158",743,237,220,240,0.2960969044414536,1.0126582278481013
12898,1943,"118.088813,24.466158","118.101444,24.469159",2153,557,770,150,0.35764050162563865,0.26929982046678635
1943,30557,"118.101444,24.469159","118.085223,24.460025",3680,829,770,150,0.20923913043478262,0.18094089264173704
30557,1035,"118.085223,24.460025","118.082634,24.451551",3083,773,1380,602,0.44761595848199803,0.7787839586028461
1103377,1216954,"118.074382,24.460935","118.076454,24.455692",1872,687,660,150,0.3525641025641026,0.2183406113537118
1216954,1661,"118.076454,24.455692","118.131569,24.491625",7540,1233,5790,872,0.7679045092838196,0.7072181670721817
1661,1867687,"118.131569,24.491625","118.082215,24.455481",7264,1258,680,210,0.09361233480176212,0.1669316375198728
1867687,622,"118.082215,24.455481","118.079242,24.453981",508,163,350,61,0.6889763779527559,0.37423312883435583
622,12820,"118.079242,24.453981","118.103568,24.46175",3333,1204,1940,329,0.5820582058205821,0.27325581395348836
12820,2049,"118.103568,24.46175","118.090147,24.461701",3722,697,1470,646,0.3949489521762493,0.926829268292683
2049,110,"118.090147,24.461701","118.056367,24.571737",20266,1797,8090,1836,0.39919076285404126,1.021702838063439
110,31113,"118.056367,24.571737","118.078567,24.45367",19369,1660,17780,3932,0.9179616913624864,2.3686746987951808
31113,31754,"118.078567,24.45367","118.080106,24.454057",162,48,880,151,5.432098765432099,3.1458333333333335
31754,1231,"118.080106,24.454057","118.083873,24.456877",1084,448,340,89,0.31365313653136534,0.19866071428571427
