TransID,Xiamen.经度,Xiamen.纬度,combine
8682,118.153354,24.524907,"118.153354,24.524907"
9434,117.928494,24.535745,"117.928494,24.535745"
9435,117.928494,24.535745,"117.928494,24.535745"
9253,118.14629,24.499418,"118.146290,24.499418"
9254,118.14629,24.499418,"118.146290,24.499418"
9457,118.200845,24.569952,"118.200845,24.569952"
9458,118.200845,24.569952,"118.200845,24.569952"
9527,118.14629,24.499418,"118.146290,24.499418"
9528,118.14629,24.499418,"118.146290,24.499418"
9419,118.150384,24.722056,"118.150384,24.722056"
9420,118.150384,24.722056,"118.150384,24.722056"
9695,118.121882,24.492903,"118.121882,24.492903"
9696,118.121882,24.492903,"118.121882,24.492903"
9780,118.089366,24.454487,"118.089366,24.454487"
9781,118.089366,24.454487,"118.089366,24.454487"
9828,118.119364,24.505584,"118.119364,24.505584"
9830,118.119364,24.505584,"118.119364,24.505584"
9847,118.110618,24.528734,"118.110618,24.528734"
9848,118.110618,24.528734,"118.110618,24.528734"
9201,118.079971,24.449176,"118.079971,24.449176"
9202,118.079971,24.449176,"118.079971,24.449176"
9445,118.133841,24.500318,"118.133841,24.500318"
9446,118.133841,24.500318,"118.133841,24.500318"
9783,118.087581,24.45215,"118.087581,24.452150"
9784,118.087769,24.452658,"118.087769,24.452658"
9790,118.087581,24.45215,"118.087581,24.452150"
9791,118.087769,24.452658,"118.087769,24.452658"
9366,118.103809,24.503695,"118.103809,24.503695"
9387,118.103809,24.503695,"118.103809,24.503695"
9275,118.101203,24.569359,"118.101203,24.569359"
9276,118.101203,24.569359,"118.101203,24.569359"
9894,118.028234,24.491347,"118.028234,24.491347"
9895,118.028234,24.491347,"118.028234,24.491347"
10351,118.02095,24.52,"118.020950,24.520000"
9880,117.936134,24.562971,"117.936134,24.562971"
9881,117.936134,24.562971,"117.936134,24.562971"
10084,117.95139,24.4744,"117.951390,24.474400"
10085,117.95139,24.4744,"117.951390,24.474400"
10195,118.162127,24.528892,"118.162127,24.528892"
10196,118.103809,24.503695,"118.103809,24.503695"
10253,118.007546,24.598598,"118.007546,24.598598"
10254,118.007546,24.598598,"118.007546,24.598598"
10297,118.007546,24.598598,"118.007546,24.598598"
10298,118.007546,24.598598,"118.007546,24.598598"
10352,118.02095,24.52,"118.020950,24.520000"
10347,118.122295,24.653878,"118.122295,24.653878"
10348,118.122295,24.653878,"118.122295,24.653878"
11175,118.156515,24.65152,"118.156515,24.651520"
11562,118.120285,24.657104,"118.120285,24.657104"
11563,118.120285,24.657104,"118.120285,24.657104"
12170,118.103757,24.584482,"118.103757,24.584482"
12171,118.103757,24.584482,"118.103757,24.584482"
11607,118.083402,24.446524,"118.083402,24.446524"
11608,118.083402,24.446524,"118.083402,24.446524"
12030,118.123242,24.487458,"118.123242,24.487458"
12031,118.123242,24.487458,"118.123242,24.487458"
11552,118.020685,24.557884,"118.020685,24.557884"
11553,118.020685,24.557884,"118.020685,24.557884"
11853,118.242996,24.65888,"118.242996,24.658880"
11854,118.242996,24.65888,"118.242996,24.658880"
11851,118.117029,24.524825,"118.117029,24.524825"
11852,118.117029,24.524825,"118.117029,24.524825"
11765,117.936244,24.565511,"117.936244,24.565511"
11766,117.936244,24.565511,"117.936244,24.565511"
11566,118.140889,24.500645,"118.140889,24.500645"
11376,118.023857,24.594589,"118.023857,24.594589"
11377,118.023857,24.594589,"118.023857,24.594589"
11589,118.102333,24.483333,"118.102333,24.483333"
11590,118.102333,24.483333,"118.102333,24.483333"
12395,118.096666,24.469955,"118.096666,24.469955"
12396,118.096666,24.469955,"118.096666,24.469955"
12188,117.816584,24.668671,"117.816584,24.668671"
12189,117.816584,24.668671,"117.816584,24.668671"
12486,118.161578,24.529736,"118.161578,24.529736"
12487,118.161578,24.529736,"118.161578,24.529736"
12386,118.186217,24.480994,"118.186217,24.480994"
11936,118.111679,24.478214,"118.111679,24.478214"
11937,118.086691,24.468215,"118.086691,24.468215"
12107,118.141768,24.645197,"118.141768,24.645197"
12108,118.141768,24.645197,"118.141768,24.645197"
12019,118.007546,24.598598,"118.007546,24.598598"
12020,118.007546,24.598598,"118.007546,24.598598"
12097,118.026807,24.49175,"118.026807,24.491750"
12098,118.027729,24.489524,"118.027729,24.489524"
12393,118.108574,24.469388,"118.108574,24.469388"
12394,118.108574,24.469388,"118.108574,24.469388"
12365,118.145737,24.715991,"118.145737,24.715991"
12366,118.146898,24.716885,"118.146898,24.716885"
12667,118.103387,24.503935,"118.103387,24.503935"
12668,118.103387,24.503935,"118.103387,24.503935"
12810,118.126662,24.502833,"118.126662,24.502833"
12838,118.251651,24.657657,"118.251651,24.657657"
12839,118.01975,24.532438,"118.019750,24.532438"
12825,117.995223,24.52775,"117.995223,24.527750"
12974,118.186847,24.527719,"118.186847,24.527719"
13214,118.108806,24.591771,"118.108806,24.591771"
13334,118.199492,24.710633,"118.199492,24.710633"
13534,118.14597,24.73393,"118.145970,24.733930"
12854,118.092648,24.480247,"118.092648,24.480247"
12855,118.119128,24.493316,"118.119128,24.493316"
12856,118.172265,24.468992,"118.172265,24.468992"
12857,118.089975,24.496362,"118.089975,24.496362"
12858,118.139012,24.493309,"118.139012,24.493309"
12859,118.030446,24.566353,"118.030446,24.566353"
12862,118.078705,24.46206,"118.078705,24.462060"
12863,118.048252,24.491798,"118.048252,24.491798"
12866,118.148124,24.732074,"118.148124,24.732074"
12867,118.027959,24.472162,"118.027959,24.472162"
12868,118.106507,24.47157,"118.106507,24.471570"
12869,118.157368,24.501814,"118.157368,24.501814"
