运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
2239126,线路6,118.147148,24.529936,"118.147148,24.529936"
2238815,线路11,118.007546,24.598598,"118.007546,24.598598"
2239410,线路10,118.132991,24.720954,"118.132991,24.720954"
2239488,线路8,118.122405,24.654002,"118.122405,24.654002"
2242255,线路9,118.251719,24.615329,"118.251719,24.615329"
2239167,线路8,118.119971,24.683479,"118.119971,24.683479"
2241820,线路9,118.2483,24.65961,"118.248300,24.659610"
2239173,线路8,118.116302,24.596263,"118.116302,24.596263"
2242309,线路2,118.099612,24.461046,"118.099612,24.461046"
2241908,线路7,118.111138,24.528157,"118.111138,24.528157"
2241912,线路4,118.159552,24.514786,"118.159552,24.514786"
2241928,线路3,118.110015,24.468964,"118.110015,24.468964"
2241929,线路1,118.105905,24.465041,"118.105905,24.465041"
2241932,线路3,118.122938,24.48848,"118.122938,24.488480"
2241947,线路8,118.104428,24.592875,"118.104428,24.592875"
2242363,线路11,118.003375,24.599205,"118.003375,24.599205"
2242382,线路2,118.0954,24.467321,"118.095400,24.467321"
2242391,线路11,117.943625,24.566692,"117.943625,24.566692"
2242410,线路3,118.105915,24.467443,"118.105915,24.467443"
2239295,线路8,118.111424,24.606161,"118.111424,24.606161"
2241966,线路10,118.134504,24.727497,"118.134504,24.727497"
2242002,线路3,118.125117,24.476381,"118.125117,24.476381"
2242024,线路5,118.130594,24.490459,"118.130594,24.490459"
2242049,线路11,118.007546,24.598598,"118.007546,24.598598"
2242061,线路11,118.007546,24.598598,"118.007546,24.598598"
2238657,线路10,118.113638,24.6915,"118.113638,24.691500"
2433901,线路8,118.158499,24.664557,"118.158499,24.664557"
2504145,线路11,118.025021,24.576029,"118.025021,24.576029"
2417030,线路4,118.17111,24.506335,"118.171110,24.506335"
2337608,线路6,118.145269,24.528837,"118.145269,24.528837"
2337859,线路12,118.029409,24.530985,"118.029409,24.530985"
2282007,线路11,118.023768,24.594515,"118.023768,24.594515"
2337965,,118.162088,24.528988,"118.162088,24.528988"
2902263,线路11,118.02577,24.565464,"118.025770,24.565464"
2597657,线路1,118.103317,24.464313,"118.103317,24.464313"
2613374,线路1,118.103317,24.464313,"118.103317,24.464313"
2622271,线路1,118.090285,24.435732,"118.090285,24.435732"
2622281,线路1,118.090285,24.435732,"118.090285,24.435732"
2647458,线路5,118.13512,24.498669,"118.135120,24.498669"
2550315,线路9,118.216083,24.668582,"118.216083,24.668582"
2564407,线路9,118.255771,24.642863,"118.255771,24.642863"
3382914,线路4,118.17111,24.506335,"118.171110,24.506335"
3151022,线路8,118.109005,24.588089,"118.109005,24.588089"
3152457,线路9,118.246103,24.605084,"118.246103,24.605084"
3154068,线路11,118.000732,24.603178,"118.000732,24.603178"
3050010,线路4,118.139735,24.475415,"118.139735,24.475415"
2948505,线路1,118.090285,24.435732,"118.090285,24.435732"
2948506,线路1,118.090285,24.435732,"118.090285,24.435732"
2775276,线路11,118.023958,24.57619,"118.023958,24.576190"
2785782,线路2,118.080394,24.476122,"118.080394,24.476122"
3060413,线路9,118.228057,24.558293,"118.228057,24.558293"
3060415,线路9,118.247088,24.59763,"118.247088,24.597630"
3060416,线路9,118.24364,24.57369,"118.243640,24.573690"
3404137,线路12,118.018893,24.532197,"118.018893,24.532197"
3246960,,118.007546,24.598598,"118.007546,24.598598"
3404421,线路12,117.996599,24.530932,"117.996599,24.530932"
3405497,线路12,117.955173,24.523522,"117.955173,24.523522"
3322477,线路2,118.079219,24.459582,"118.079219,24.459582"
3354186,线路7,118.111101,24.529374,"118.111101,24.529374"
2239475,线路8,118.122295,24.653878,"118.122295,24.653878"
2239475,线路8,118.122405,24.654002,"118.122405,24.654002"
3404873,,118.007546,24.598598,"118.007546,24.598598"
3404515,线路2,118.089155,24.479322,"118.089155,24.479322"
3404559,线路8,118.149558,24.632793,"118.149558,24.632793"
3404809,线路11,118.006296,24.578791,"118.006296,24.578791"
